row,original_name,normalized_name,group_title,country_hint,matched,tvg_id,epg_source_section,confidence,method
1775,Mega Go ( eventos),MEGA GO EVENTOS,CHILE,cl,False,,,83,review_required
1776,DTV | Euronews Espanol,DTV EURONEWS ESPANOL,☕NOTICIAS☕,,False,,,90,review_required
1777,CUBA: VALE TV,CUBA VALE,CUBA,,False,,,0,no_candidate
1778,Deportes TVC Opc 2,DEPORTES TVC OPC 2,HONDURAS,hn,False,,,83,review_required
1779,Eventos Futbol Honduras 01,EVENTOS FUTBOL HONDURAS 01,HONDURAS,hn,False,,,0,no_candidate
1780,Eventos Futbol Honduras 02,EVENTOS FUTBOL HONDURAS 02,HONDURAS,hn,False,,,0,no_candidate
1781,Deportes TVC Opc 1,DEPORTES TVC OPC 1,HONDURAS,hn,False,,,83,review_required
1782,TeleCuraçao FM,TELECURACAO FM,CURAÇAO,,False,,,90,review_required
1783,Discovery en Español,DISCOVERY EN ESPANOL,✈CULTURA✈,,True,Canal.Discovery.en.Español.sv,epg_ripper_SV1,99,exact_name
1784,TV FAMILIA,TV FAMILIA,VENEZUELA,ve,False,,,90,review_required
1785,CTV Copan Runias,CTV COPAN RUNIAS,HONDURAS,hn,False,,,83,review_required
1786,Super Canal 33 HD,SUPER,R. DOMINICANA,do,True,SUPER.gr,epg_ripper_GR1,99,exact_name
1787,ESPN EXTRA CNT ECUADOR,ESPN EXTRA CNT ECUADOR,ECUADOR,ec,True,Canal.Ecuador.TV.ec,epg_ripper_EC1,94,fuzzy_country
1788,TC Internacional,TC INTERNACIONAL,ECUADOR,ec,False,,,95,review_required
1789,Tele Dominicana,TELE DOMINICANA,R. DOMINICANA,do,False,,,83,review_required
1790,RCN Mas,RCN MAS,COLOMBIA,co,True,RCN.co,epg_ripper_CO1,94,fuzzy_country
1791,De Ultimo Minuto TV,DE ULTIMO MINUTO,R. DOMINICANA,do,False,,,83,review_required
1792,Suyapa TV,SUYAPA,HONDURAS,hn,False,,,83,review_required
1793,Radio Canela,RADIO CANELA,ECUADOR,ec,False,,,83,review_required
1794,Microvision SD,MICROVISION,R. DOMINICANA,do,False,,,83,review_required
1795,Ready Television,READY,R. DOMINICANA,do,False,,,83,review_required
1796,Canal 6,,R. DOMINICANA,do,False,,,0,empty_name
